name,current_role,record_type,institution,title,start_year,end_year,source_url,linkedin_url
Professor Edward Brooks,Co-Founder,education,University of Oxford,MA,,,https://www.politics.ox.ac.uk/person/edward-brooks,https://www.linkedin.com/in/edward-brooks-6a529297/
Professor Edward Brooks,Co-Founder,education,University of Oxford,DPhil,,,https://www.politics.ox.ac.uk/person/edward-brooks,https://www.linkedin.com/in/edward-brooks-6a529297/
Professor Edward Brooks,Co-Founder,experience,University of Oxford,Director of Programme for Global Leadership,,,https://www.politics.ox.ac.uk/person/edward-brooks,https://www.linkedin.com/in/edward-brooks-6a529297/
Professor Edward Brooks,Co-Founder,experience,Oxford Character Project,Executive Director,,,https://www.politics.ox.ac.uk/person/edward-brooks,https://www.linkedin.com/in/edward-brooks-6a529297/
Professor Edward Brooks,Co-Founder,experience,University of Birmingham,Visiting Lecturer,,,https://www.politics.ox.ac.uk/person/edward-brooks,https://www.linkedin.com/in/edward-brooks-6a529297/
Professor Edward Brooks,Co-Founder,experience,University of Northampton,Research Leader (Centre for Psychology and Sociological Sciences),,,https://www.politics.ox.ac.uk/person/edward-brooks,https://www.linkedin.com/in/edward-brooks-6a529297/
Professor Alexander Betts,Co-Founder,experience,University of Oxford,"Pro Vice-Chancellor for External Engagement, Sport, and Community",2025,Present,https://www.sdglab.uk/our-people,https://www.linkedin.com/in/alexander-betts-1821bb1b5/
Professor Alexander Betts,Co-Founder,experience,University of Oxford,Local and Global Engagement Officer,2023,Present,https://www.qeh.ox.ac.uk/people/alexander-betts,https://www.linkedin.com/in/alexander-betts-1821bb1b5/
Professor Alexander Betts,Co-Founder,experience,Oxford Department of International Development,Professor of Forced Migration and International Affairs,,,https://www.qeh.ox.ac.uk/people/alexander-betts,https://www.linkedin.com/in/alexander-betts-1821bb1b5/
Professor Alexander Betts,Co-Founder,experience,Brasenose College,William Golding Senior Fellow in Politics,,,https://www.qeh.ox.ac.uk/people/alexander-betts,https://www.linkedin.com/in/alexander-betts-1821bb1b5/
Professor Alexander Betts,Co-Founder,experience,Refugee Studies Centre,Director,2014,2017,https://www.qeh.ox.ac.uk/people/alexander-betts,https://www.linkedin.com/in/alexander-betts-1821bb1b5/
Professor Alexander Betts,Co-Founder,experience,Refugee Studies Centre,Director,2022,2023,https://www.qeh.ox.ac.uk/people/alexander-betts,https://www.linkedin.com/in/alexander-betts-1821bb1b5/
Professor Alexander Betts,Co-Founder,experience,UNHCR,Worked for UNHCR,,,https://www.qeh.ox.ac.uk/people/alexander-betts,https://www.linkedin.com/in/alexander-betts-1821bb1b5/
Dr Susann Stritzke,Senior Programme Manager,education,Not publicly specified,PhD in Political Science,,,https://www.qeh.ox.ac.uk/person/susann-stritzke,https://www.linkedin.com/in/susannstritzke/
Dr Susann Stritzke,Senior Programme Manager,experience,Oxford SDG Impact Lab,"Senior Programme Manager (Business Impact Lab, SDG Impact Lab)",,,https://www.qeh.ox.ac.uk/person/susann-stritzke,https://www.linkedin.com/in/susannstritzke/
Dr Susann Stritzke,Senior Programme Manager,experience,Loughborough University,Research position,,,https://www.sdglab.uk/our-people,https://www.linkedin.com/in/susannstritzke/
Dr Susann Stritzke,Senior Programme Manager,experience,University of Oxford,Research position,,,https://www.sdglab.uk/our-people,https://www.linkedin.com/in/susannstritzke/
Harriet Hoffler,Senior Programme Manager,experience,Oxford SDG Impact Lab,Senior Programme Manager,,,https://www.sdglab.uk/our-people,https://www.linkedin.com/in/harriethoffler/
Harriet Hoffler,Senior Programme Manager,experience,FCDO,Senior role,,,https://www.sdglab.uk/our-people,https://www.linkedin.com/in/harriethoffler/
Harriet Hoffler,Senior Programme Manager,experience,DCMS,Senior role,,,https://www.sdglab.uk/our-people,https://www.linkedin.com/in/harriethoffler/
Harriet Hoffler,Senior Programme Manager,experience,Wilton Park,Senior role,,,https://www.sdglab.uk/our-people,https://www.linkedin.com/in/harriethoffler/
Harriet Hoffler,Senior Programme Manager,experience,Royal College of Defence Studies,Senior role,,,https://www.sdglab.uk/our-people,https://www.linkedin.com/in/harriethoffler/
Harriet Hoffler,Senior Programme Manager,experience,US Embassy London,Senior role,,,https://www.sdglab.uk/our-people,https://www.linkedin.com/in/harriethoffler/
Noora Kanfash,Programme Manager,education,University of Maryland,Master of Public Health,,,https://www.sdglab.uk/our-people,https://www.linkedin.com/in/noora-kanfash-00b8a478/
Noora Kanfash,Programme Manager,experience,Oxford SDG Impact Lab,Programme Manager (Local Policy Lab),,,https://www.sdglab.uk/our-people,https://www.linkedin.com/in/noora-kanfash-00b8a478/
Noora Kanfash,Programme Manager,experience,University of Oxford Social Sciences Division,Public Policy Engagement Facilitator,2023,Present,https://www.socsci.ox.ac.uk/people/noora-kanfash,https://www.linkedin.com/in/noora-kanfash-00b8a478/
Noora Kanfash,Programme Manager,experience,Washington D.C. policy organizations,Federal policy work on children women and families,,,https://www.sdglab.uk/our-people,https://www.linkedin.com/in/noora-kanfash-00b8a478/
Ruby-Anne Birin,Programme Manager,education,University of Oxford,DPhil in Archaeological Science,,,https://www.qeh.ox.ac.uk/person/ruby-anne-birin,https://www.linkedin.com/in/ruby-anne-birin-731132153/
Ruby-Anne Birin,Programme Manager,experience,Oxford SDG Impact Lab,2022 Fellow,2022,2022,https://www.qeh.ox.ac.uk/person/ruby-anne-birin,https://www.linkedin.com/in/ruby-anne-birin-731132153/
Ruby-Anne Birin,Programme Manager,experience,Oxford SDG Impact Lab,Impact Officer,,,https://www.qeh.ox.ac.uk/person/ruby-anne-birin,https://www.linkedin.com/in/ruby-anne-birin-731132153/
Ruby-Anne Birin,Programme Manager,experience,Oxford SDG Impact Lab,Programme Manager (Oxford Laidlaw Scholars Programme),,,https://www.qeh.ox.ac.uk/person/ruby-anne-birin,https://www.linkedin.com/in/ruby-anne-birin-731132153/
Map (Tanyawadee) Chalmers,Lab Administrator,experience,Oxford SDG Impact Lab,Project Administrator,,,https://www.qeh.ox.ac.uk/people/map-tanyawadee-chalmers,https://www.linkedin.com/in/tanyawadee-chalmers-85602134b/
Map (Tanyawadee) Chalmers,Lab Administrator,experience,Refugee Studies Centre,Supported summer school delivery,,,https://www.qeh.ox.ac.uk/people/map-tanyawadee-chalmers,https://www.linkedin.com/in/tanyawadee-chalmers-85602134b/
Raphael Bradenbrink,Research Supervisor,education,Heidelberg University,Master's in Political Science,,,https://www.qeh.ox.ac.uk/people/raphael-bradenbrink,https://www.linkedin.com/in/raphael-bradenbrink-354bb314a
Raphael Bradenbrink,Research Supervisor,experience,Oxford Department of International Development,DPhil candidate,,,https://www.qeh.ox.ac.uk/people/raphael-bradenbrink,https://www.linkedin.com/in/raphael-bradenbrink-354bb314a
Raphael Bradenbrink,Research Supervisor,experience,Refugee Economies Programme,Researcher,,,https://www.qeh.ox.ac.uk/people/raphael-bradenbrink,https://www.linkedin.com/in/raphael-bradenbrink-354bb314a
Raphael Bradenbrink,Research Supervisor,experience,Oxford SDG Impact Lab,Research Supervisor,,,https://www.qeh.ox.ac.uk/people/raphael-bradenbrink,https://www.linkedin.com/in/raphael-bradenbrink-354bb314a
Tobias Schillings,Research Supervisor,education,University of Oxford,MPhil in Economics,,,https://www.qeh.ox.ac.uk/people/tobias-schillings,https://www.linkedin.com/in/tobias-schillings-11275912b/
Tobias Schillings,Research Supervisor,education,University of Munster,BSc in Economics,,,https://www.qeh.ox.ac.uk/people/tobias-schillings,https://www.linkedin.com/in/tobias-schillings-11275912b/
Tobias Schillings,Research Supervisor,experience,Oxford Department of International Development,DPhil candidate,,,https://www.qeh.ox.ac.uk/people/tobias-schillings,https://www.linkedin.com/in/tobias-schillings-11275912b/
Tobias Schillings,Research Supervisor,experience,UNDP,Independent consultant,,,https://www.qeh.ox.ac.uk/people/tobias-schillings,https://www.linkedin.com/in/tobias-schillings-11275912b/
Tobias Schillings,Research Supervisor,experience,UNCDF,Independent consultant,,,https://www.qeh.ox.ac.uk/people/tobias-schillings,https://www.linkedin.com/in/tobias-schillings-11275912b/
Tobias Schillings,Research Supervisor,experience,Chatham House,Independent consultant,,,https://www.qeh.ox.ac.uk/people/tobias-schillings,https://www.linkedin.com/in/tobias-schillings-11275912b/
Tobias Schillings,Research Supervisor,experience,UK Department for International Development,Independent consultant,,,https://www.qeh.ox.ac.uk/people/tobias-schillings,https://www.linkedin.com/in/tobias-schillings-11275912b/
Charlotte Evans,Impact and Development Officer (Project Placement),education,University of Cambridge,MPhil in Population Health Sciences,,,https://www.granduniondtp.ac.uk/people/charlotte-evans,https://www.linkedin.com/in/evans-charlotte/
Charlotte Evans,Impact and Development Officer (Project Placement),education,Dartmouth College,BA in Geography and Medical Sciences,,,https://www.granduniondtp.ac.uk/people/charlotte-evans,https://www.linkedin.com/in/evans-charlotte/
Charlotte Evans,Impact and Development Officer (Project Placement),experience,University of Oxford,DPhil candidate in Social Intervention and Policy Evaluation,2024,Present,https://www.granduniondtp.ac.uk/people/charlotte-evans,https://www.linkedin.com/in/evans-charlotte/
Charlotte Evans,Impact and Development Officer (Project Placement),experience,Oxford SDG Impact Lab,Impact and Development Officer (Project Placement),,,https://www.sdglab.uk/our-people,https://www.linkedin.com/in/evans-charlotte/
Charlotte Evans,Impact and Development Officer (Project Placement),experience,Partners In Health,Senior Coordinator (Mental Health Team),,,https://www.granduniondtp.ac.uk/people/charlotte-evans,https://www.linkedin.com/in/evans-charlotte/
Charlotte Evans,Impact and Development Officer (Project Placement),experience,Canadian Institutes of Health Research SPOR Unit,Lombard Research Fellow,,,https://www.granduniondtp.ac.uk/people/charlotte-evans,https://www.linkedin.com/in/evans-charlotte/
